jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,date
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1999
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/1999
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/1999
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/1999
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9/1999
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10/1999
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11/1999
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12/1999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/2000
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2/2000
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/2000
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/2000
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2000
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/2000
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/2000
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/2000
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9/2000
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10/2000
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11/2000
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12/2000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/2001
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/2001
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/2001
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/2001
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2001
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/2001
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/2001
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/2001
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9/2001
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10/2001
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,11/2001
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,12/2001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1/2002
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2/2002
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3/2002
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4/2002
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5/2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6/2002
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7/2002
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8/2002
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,9/2002
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,10/2002
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,11/2002
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,12/2002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1/2003
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,2/2003
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,3/2003
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,4/2003
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,5/2003
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,6/2003
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,7/2003
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8/2003
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,9/2003
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,10/2003
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,0,11/2003
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,12/2003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1/2004
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,2/2004
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3/2004
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4/2004
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5/2004
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,6/2004
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,7/2004
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,8/2004
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,9/2004
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,10/2004
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,11/2004
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,12/2004
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1/2005
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2/2005
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3/2005
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4/2005
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5/2005
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6/2005
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,7/2005
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,8/2005
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,9/2005
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0,10/2005
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,50,0,11/2005
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,12/2005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1/2006
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2/2006
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,3/2006
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4/2006
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,5/2006
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,6/2006
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,7/2006
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,8/2006
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,9/2006
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,10/2006
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,11/2006
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,63,0,12/2006
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1/2007
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,2/2007
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3/2007
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,4/2007
