date,rpms
8/2016,59037335327
9/2016,52677191991
10/2016,55322207318
11/2016,53272376087
12/2016,54790128135
1/2017,50133735954
2/2017,46496767254
3/2017,58786617167
4/2017,56261698863
5/2017,58964299913
6/2017,62379474159
7/2017,64891508343
8/2017,62438180269
9/2017,51895974238
10/2017,58293041012
11/2017,55933348472
12/2017,56955892029
1/2018,51715107148
2/2018,49477939186
3/2018,61729296902
4/2018,59346312624
5/2018,62413736881
6/2018,66050695199
7/2018,69033845565
8/2018,66025874648
9/2018,55486528023
10/2018,61065685975
11/2018,58865417306
12/2018,59501974125
1/2019,54370838384
2/2019,51401866863
3/2019,65410585793
4/2019,61931712216
5/2019,65793359873
6/2019,68357283258
7/2019,71230170772
8/2019,68125369920
9/2019,58272961361
10/2019,63393387515
11/2019,59253230565
12/2019,65346264617
1/2020,57685825985
2/2020,55382246128
3/2020,32536517473
