"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,2182.00,20436,2000,1,
0.00,2139.00,20436,2000,1,
0.00,1589.00,20436,2000,1,
0.00,1638.00,20305,2000,1,
0.00,143.00,20374,2000,1,
0.00,1061.00,20218,2000,1,
0.00,643.00,19704,2000,1,
0.00,70.00,19393,2000,1,
0.00,1205.00,19704,2000,1,
0.00,209.00,20374,2000,1,
0.00,421.00,20170,2000,1,
0.00,1795.00,19977,2000,1,
0.00,2192.00,19977,2000,1,
0.00,1648.00,20173,2000,1,
0.00,556.00,20218,2000,1,
0.00,101.00,19704,2000,1,
0.00,1279.00,19805,2000,1,
0.00,196.00,19977,2000,1,
0.00,101.00,20408,2000,1,
0.00,385.00,20374,2000,1,
0.00,186.00,19977,2000,1,
0.00,679.00,19977,2000,1,
0.00,46.00,20170,2000,1,
0.00,1141.00,20436,2000,1,
0.00,1452.00,20436,2000,1,
0.00,457.00,19704,2000,1,
0.00,542.00,19386,2000,1,
0.00,152.00,19790,2000,1,
0.00,1157.00,19977,2000,1,
0.00,351.00,20046,2000,1,
0.00,520.00,19977,2000,1,
0.00,344.00,19977,2000,1,
0.00,735.00,19991,2000,1,
0.00,335.00,19977,2000,1,
0.00,396.00,19704,2000,1,
0.00,370.00,19991,2000,1,
0.00,549.00,20374,2000,1,
0.00,200.00,19991,2000,1,
0.00,200.00,19704,2000,1,
0.00,646.00,20218,2000,1,
0.00,496.00,19704,2000,1,
0.00,95.00,19977,2000,1,
0.00,1648.00,20173,2000,1,
0.00,1648.00,20173,2000,1,
0.00,1442.00,20173,2000,1,
0.00,1857.00,20173,2000,1,
0.00,50.00,20357,2000,1,
0.00,86.00,20170,2000,1,
0.00,249.00,20408,2000,1,
0.00,59.00,20408,2000,1,
0.00,312.00,20408,2000,1,
0.00,503.00,20408,2000,1,
0.00,151.00,20408,2000,1,
0.00,180.00,20408,2000,1,
0.00,204.00,20408,2000,1,
0.00,386.00,20408,2000,1,
0.00,85.00,20408,2000,1,
0.00,574.00,20374,2000,1,
0.00,254.00,20170,2000,1,
0.00,477.00,19704,2000,1,
0.00,2196.00,19704,2000,1,
0.00,758.00,19704,2000,1,
0.00,336.00,19977,2000,1,
0.00,169.00,19704,2000,1,
0.00,45.00,19977,2000,1,
0.00,787.00,19977,2000,1,
0.00,2358.00,20436,2000,1,
0.00,2335.00,20436,2000,1,
0.00,2457.00,20436,2000,1,
0.00,188.00,20297,2000,1,
0.00,742.00,20297,2000,1,
0.00,813.00,19977,2000,1,
0.00,404.00,19977,2000,1,
0.00,872.00,19386,2000,1,
0.00,511.00,19386,2000,1,
0.00,221.00,20170,2000,1,
0.00,404.00,19977,2000,1,
0.00,214.00,19386,2000,1,
0.00,275.00,20170,2000,1,
0.00,729.00,19704,2000,1,
0.00,729.00,19393,2000,1,
0.00,1032.00,20400,2000,1,
0.00,1521.00,19386,2000,1,
0.00,2105.00,19977,2000,1,
0.00,3444.00,20402,2000,1,
0.00,1045.00,20173,2000,1,
0.00,1045.00,20357,2000,1,
0.00,1045.00,20400,2000,1,
0.00,1045.00,20218,2000,1,
0.00,204.00,20203,2000,1,
0.00,1259.00,20147,2000,1,
0.00,297.00,20374,2000,1,
0.00,2079.00,19977,2000,1,
0.00,537.00,19977,2000,1,
0.00,308.00,19977,2000,1,
0.00,981.00,20436,2000,1,
0.00,1148.00,20436,2000,1,
0.00,1536.00,20436,2000,1,
0.00,228.00,19977,2000,1,
0.00,1426.00,20436,2000,1,
0.00,1426.00,19991,2000,1,
0.00,1532.00,20436,2000,1,
0.00,1399.00,19704,2000,1,
0.00,1399.00,19977,2000,1,
0.00,1589.00,20436,2000,1,
0.00,998.00,19704,2000,1,
0.00,1062.00,19704,2000,1,
0.00,1501.00,19704,2000,1,
0.00,1301.00,19805,2000,1,
0.00,1301.00,19704,2000,1,
0.00,1663.00,19898,2000,1,
0.00,2554.00,19977,2000,1,
0.00,2437.00,19393,2000,1,
0.00,30.00,19393,2000,1,
0.00,75.00,19991,2000,1,
0.00,1355.00,20218,2000,1,
0.00,796.00,20400,2000,1,
0.00,407.00,20374,2000,1,
0.00,1160.00,19977,2000,1,
0.00,821.00,20436,2000,1,
0.00,621.00,19805,2000,1,
0.00,583.00,20436,2000,1,
0.00,390.00,19386,2000,1,
0.00,1099.00,19704,2000,1,
0.00,1099.00,20436,2000,1,
0.00,1330.00,20436,2000,1,
0.00,734.00,20374,2000,1,
0.00,1037.00,20436,2000,1,
0.00,1313.00,20436,2000,1,
0.00,839.00,20436,2000,1,
0.00,1370.00,19393,2000,1,
0.00,1334.00,19977,2000,1,
0.00,47.00,19704,2000,1,
0.00,2846.00,19977,2000,1,
0.00,606.00,19991,2000,1,
0.00,1060.00,19977,2000,1,
0.00,296.00,20374,2000,1,
0.00,7360.00,19386,2000,1,
0.00,446.00,19991,2000,2,
0.00,367.00,19991,2000,2,
0.00,70.00,19704,2000,2,
0.00,1215.00,19393,2000,2,
0.00,232.00,19704,2000,2,
0.00,254.00,19977,2000,2,
0.00,1180.00,20436,2000,2,
0.00,5675.00,19386,2000,2,
0.00,866.00,20436,2000,2,
0.00,2412.00,20436,2000,2,
0.00,2553.00,20436,2000,2,
0.00,1399.00,20436,2000,2,
