"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,592.00,19707,1991,1,
0.00,1308.00,19707,1991,1,
0.00,1347.00,19393,1991,1,
0.00,328.00,19977,1991,1,
0.00,609.00,19977,1991,1,
0.00,1192.00,19670,1991,1,
0.00,1040.00,19670,1991,1,
0.00,165.00,19670,1991,1,
0.00,252.00,19670,1991,1,
0.00,63.00,19790,1991,1,
0.00,332.00,19670,1991,1,
0.00,140.00,19670,1991,1,
0.00,275.00,19670,1991,1,
0.00,145.00,19977,1991,1,
0.00,143.00,19704,1991,1,
0.00,1482.00,19704,1991,1,
0.00,1225.00,19707,1991,1,
0.00,2559.00,20355,1991,1,
0.00,476.00,19393,1991,1,
0.00,673.00,19393,1991,1,
0.00,1192.00,19670,1991,1,
0.00,252.00,19670,1991,1,
0.00,0.00,19670,1991,1,
0.00,1542.00,19704,1991,1,
0.00,503.00,19704,1991,1,
0.00,453.00,19977,1991,1,
0.00,332.00,19977,1991,1,
0.00,674.00,19977,1991,1,
0.00,67.00,20046,1991,1,
0.00,19.00,20046,1991,1,
0.00,1859.00,20149,1991,1,
0.00,152.00,19704,1991,1,
0.00,143.00,19977,1991,1,
0.00,143.00,19393,1991,1,
0.00,143.00,19790,1991,1,
0.00,1085.00,19704,1991,1,
0.00,1107.00,20149,1991,1,
0.00,351.00,19704,1991,1,
0.00,1708.00,19991,1991,1,
0.00,868.00,19704,1991,1,
0.00,70.00,19393,1991,1,
0.00,70.00,19977,1991,1,
0.00,70.00,19704,1991,1,
0.00,200.00,19670,1991,2,
0.00,230.00,19670,1991,2,
0.00,715.00,19386,1991,2,
0.00,862.00,19393,1991,2,
0.00,847.00,19393,1991,2,
0.00,60.00,19670,1991,2,
0.00,689.00,19977,1991,2,
0.00,332.00,19977,1991,2,
0.00,516.00,20355,1991,2,
0.00,1007.00,20046,1991,2,
0.00,67.00,20046,1991,2,
0.00,19.00,20046,1991,2,
0.00,812.00,19977,1991,2,
0.00,1859.00,20149,1991,2,
0.00,1085.00,19790,1991,2,
0.00,2298.00,19790,1991,2,
0.00,95.00,19670,1991,2,
0.00,101.00,19670,1991,2,
0.00,1444.00,19704,1991,2,
0.00,201.00,19977,1991,2,
0.00,2575.00,19977,1991,2,
0.00,473.00,19977,1991,2,
0.00,862.00,19393,1991,2,
0.00,594.00,19393,1991,2,
0.00,321.00,19977,1991,2,
0.00,1304.00,19704,1991,2,
0.00,834.00,19386,1991,2,
0.00,2382.00,20355,1991,2,
0.00,631.00,19977,1991,2,
0.00,1815.00,19393,1991,2,
0.00,1968.00,19977,1991,2,
0.00,2159.00,19977,1991,2,
0.00,523.00,19977,1991,2,
0.00,2265.00,19977,1991,2,
0.00,5095.00,19977,1991,2,
0.00,45.00,19977,1991,2,
0.00,1282.00,19704,1991,2,
0.00,2567.00,19704,1991,2,
0.00,829.00,19704,1991,2,
0.00,829.00,19977,1991,2,
0.00,1442.00,20042,1991,2,
0.00,55.00,19704,1991,2,
0.00,65.00,19386,1991,2,
0.00,244.00,19977,1991,2,
0.00,2207.00,20355,1991,2,
0.00,874.00,19977,1991,2,
0.00,1185.00,19704,1991,2,
0.00,2157.00,19805,1991,2,
0.00,186.00,19704,1991,2,
0.00,493.00,19977,1991,2,
0.00,364.00,19386,1991,2,
0.00,1670.00,19790,1991,2,
0.00,1217.00,19704,1991,2,
0.00,1235.00,19805,1991,2,
0.00,196.00,20046,1991,2,
0.00,47.00,20046,1991,2,
0.00,199.00,19385,1991,2,
0.00,164.00,20046,1991,2,
0.00,550.00,19977,1991,2,
0.00,705.00,19991,1991,2,
0.00,69.00,20046,1991,2,
0.00,95.00,19977,1991,2,
0.00,753.00,19704,1991,2,
0.00,695.00,20355,1991,2,
0.00,729.00,19704,1991,2,
0.00,2008.00,19704,1991,2,
0.00,317.00,19704,1991,2,
0.00,112.00,19977,1991,2,
0.00,116.00,19704,1991,2,
0.00,1996.00,19704,1991,2,
0.00,198.00,19977,1991,2,
0.00,1778.00,19977,1991,2,
0.00,404.00,19991,1991,2,
0.00,1023.00,19704,1991,2,
0.00,1177.00,19977,1991,2,
0.00,1276.00,19393,1991,2,
0.00,859.00,19790,1991,2,
0.00,275.00,19790,1991,2,
0.00,871.00,19704,1991,2,
0.00,98.00,19704,1991,2,
0.00,98.00,19977,1991,2,
0.00,1900.00,19977,1991,2,
0.00,1576.00,19386,1991,2,
0.00,596.00,19977,1991,2,
0.00,78.00,19704,1991,2,
0.00,3079.00,19950,1991,2,
0.00,459.00,19977,1991,2,
0.00,574.00,19977,1991,2,
0.00,1879.00,19805,1991,2,
0.00,477.00,19950,1991,2,
0.00,144.00,19950,1991,2,
0.00,543.00,19950,1991,2,
0.00,391.00,19977,1991,2,
0.00,24.00,19977,1991,2,
0.00,1038.00,19704,1991,2,
0.00,948.00,19977,1991,2,
0.00,1795.00,19704,1991,2,
0.00,418.00,19977,1991,3,
0.00,659.00,19704,1991,3,
0.00,659.00,19977,1991,3,
0.00,738.00,19977,1991,3,
0.00,812.00,19977,1991,3,
0.00,1148.00,19977,1991,3,
0.00,96.00,20355,1991,3,
0.00,1011.00,19805,1991,3,
0.00,442.00,19977,1991,3,
0.00,393.00,19977,1991,3,
0.00,476.00,19790,1991,3,
0.00,703.00,19805,1991,3,
0.00,1645.00,19977,1991,3,
0.00,479.00,19977,1991,3,
0.00,109.00,20046,1991,3,
0.00,130.00,19670,1991,3,
0.00,1026.00,19977,1991,3,
0.00,1170.00,19977,1991,3,
0.00,1257.00,19704,1991,3,
0.00,1353.00,19393,1991,3,
0.00,967.00,19991,1991,3,
0.00,1139.00,19704,1991,3,
0.00,284.00,19977,1991,3,
0.00,774.00,19977,1991,3,
0.00,925.00,19704,1991,3,
0.00,1333.00,19704,1991,3,
0.00,984.00,19977,1991,3,
0.00,1066.00,19977,1991,3,
0.00,655.00,19977,1991,3,
0.00,861.00,19704,1991,3,
0.00,718.00,20355,1991,3,
0.00,80.00,19704,1991,3,
0.00,400.00,20355,1991,3,
0.00,162.00,19393,1991,3,
0.00,484.00,19977,1991,3,
0.00,469.00,19977,1991,3,
0.00,1012.00,19704,1991,3,
0.00,1278.00,19704,1991,3,
0.00,630.00,19977,1991,3,
0.00,323.00,19977,1991,3,
0.00,609.00,19977,1991,3,
0.00,316.00,19977,1991,3,
0.00,1086.00,19704,1991,3,
0.00,1086.00,19704,1991,3,
0.00,2175.00,19704,1991,3,
0.00,62.00,19704,1991,3,
0.00,1013.00,19977,1991,3,
0.00,318.00,19977,1991,3,
0.00,908.00,19977,1991,3,
0.00,576.00,19790,1991,3,
0.00,1718.00,19977,1991,3,
0.00,1738.00,19977,1991,3,
0.00,139.00,19977,1991,3,
0.00,64.00,19704,1991,3,
0.00,839.00,19977,1991,3,
0.00,979.00,19805,1991,3,
0.00,274.00,19977,1991,3,
0.00,228.00,19977,1991,3,
0.00,1494.00,19991,1991,3,
0.00,1015.00,19977,1991,3,
0.00,305.00,19977,1991,3,
0.00,1040.00,19790,1991,3,
0.00,1301.00,19977,1991,3,
0.00,481.00,19805,1991,3,
0.00,1388.00,19977,1991,3,
0.00,1608.00,19704,1991,3,
0.00,1369.00,19977,1991,3,
0.00,30.00,19704,1991,3,
0.00,1396.00,19977,1991,3,
0.00,1666.00,20173,1991,3,
0.00,1794.00,20173,1991,3,
0.00,1246.00,19977,1991,3,
0.00,1428.00,19977,1991,3,
0.00,588.00,19977,1991,3,
0.00,626.00,19977,1991,3,
0.00,585.00,19977,1991,3,
0.00,532.00,19977,1991,3,
0.00,2241.00,20355,1991,3,
0.00,1334.00,19977,1991,3,
0.00,75.00,19977,1991,3,
0.00,86.00,19977,1991,3,
0.00,642.00,19704,1991,3,
0.00,179.00,19790,1991,3,
0.00,2547.00,19977,1991,3,
0.00,271.00,19393,1991,3,
0.00,781.00,19704,1991,3,
0.00,667.00,19393,1991,3,
0.00,786.00,19704,1991,3,
0.00,405.00,19977,1991,3,
0.00,79.00,19977,1991,3,
0.00,2954.00,20057,1991,3,
0.00,249.00,20046,1991,3,
0.00,930.00,19704,1991,3,
0.00,197.00,19704,1991,3,
0.00,1091.00,20355,1991,3,
0.00,920.00,19704,1991,3,
0.00,110.00,19704,1991,3,
0.00,40.00,19977,1991,3,
0.00,420.00,19704,1991,3,
0.00,420.00,19977,1991,3,
0.00,1276.00,19393,1991,3,
0.00,429.00,19977,1991,3,
0.00,111.00,19393,1991,3,
0.00,627.00,19991,1991,3,
0.00,1791.00,19805,1991,3,
0.00,541.00,19977,1991,3,
0.00,61.00,20149,1991,3,
0.00,67.00,19704,1991,4,
0.00,486.00,19977,1991,4,
0.00,613.00,19704,1991,4,
0.00,833.00,19977,1991,4,
0.00,223.00,19991,1991,4,
0.00,1689.00,19704,1991,4,
0.00,616.00,19385,1991,4,
0.00,251.00,19977,1991,4,
0.00,2559.00,20355,1991,4,
0.00,60.00,19670,1991,4,
0.00,3192.00,19704,1991,4,
0.00,128.00,19670,1991,4,
0.00,692.00,19704,1991,4,
0.00,812.00,19704,1991,4,
0.00,449.00,19704,1991,4,
0.00,669.00,19977,1991,4,
0.00,19.00,20046,1991,4,
0.00,152.00,19704,1991,4,
0.00,152.00,19977,1991,4,
0.00,143.00,19704,1991,4,
0.00,342.00,19704,1991,4,
0.00,91.00,19977,1991,4,
0.00,2298.00,19790,1991,4,
0.00,101.00,19977,1991,4,
0.00,134.00,19977,1991,4,
0.00,779.00,19386,1991,4,
0.00,324.00,19393,1991,4,
0.00,321.00,19977,1991,4,
0.00,410.00,19393,1991,4,
0.00,1304.00,19704,1991,4,
0.00,471.00,19977,1991,4,
0.00,271.00,19393,1991,4,
0.00,1695.00,19704,1991,4,
0.00,632.00,19977,1991,4,
0.00,5095.00,19977,1991,4,
0.00,817.00,19977,1991,4,
0.00,187.00,19977,1991,4,
0.00,2381.00,19704,1991,4,
0.00,860.00,19704,1991,4,
0.00,1367.00,19977,1991,4,
0.00,383.00,19704,1991,4,
0.00,255.00,19704,1991,4,
0.00,175.00,19704,1991,4,
0.00,140.00,19670,1991,3,
0.00,1291.00,19977,1991,3,
0.00,963.00,19704,1991,3,
0.00,846.00,19977,1991,3,
0.00,2548.00,19977,1991,3,
0.00,1604.00,19977,1991,3,
0.00,1557.00,19977,1991,3,
0.00,1504.00,19977,1991,3,
0.00,1091.00,19977,1991,3,
0.00,964.00,19977,1991,3,
0.00,1102.00,19977,1991,3,
0.00,508.00,19977,1991,3,
0.00,0.00,19805,1991,3,
0.00,2193.00,19790,1991,3,
0.00,1213.00,19790,1991,3,
0.00,1776.00,19393,1991,3,
0.00,454.00,20046,1991,3,
0.00,55.00,19704,1991,3,
0.00,414.00,20355,1991,3,
0.00,973.00,19977,1991,3,
0.00,925.00,19977,1991,3,
0.00,863.00,19977,1991,3,
0.00,863.00,19790,1991,3,
0.00,1190.00,19977,1991,3,
0.00,942.00,19977,1991,3,
0.00,2238.00,19704,1991,3,
0.00,1272.00,19977,1991,3,
0.00,77.00,20295,1991,3,
0.00,1893.00,20355,1991,3,
0.00,2267.00,19977,1991,3,
0.00,2164.00,20355,1991,3,
0.00,191.00,19393,1991,3,
0.00,125.00,20355,1991,3,
0.00,117.00,19977,1991,3,
0.00,854.00,19977,1991,3,
0.00,1878.00,19977,1991,3,
0.00,116.00,20046,1991,3,
0.00,84.00,19977,1991,3,
0.00,286.00,19790,1991,3,
0.00,275.00,19670,1991,3,
0.00,2490.00,19704,1991,3,
0.00,2018.00,19386,1991,3,
0.00,2625.00,19977,1991,3,
0.00,337.00,19690,1991,3,
0.00,354.00,19991,1991,3,
0.00,1433.00,19977,1991,3,
0.00,2253.00,19977,1991,3,
0.00,829.00,19977,1991,5,
0.00,1501.00,19704,1991,5,
0.00,795.00,19977,1991,5,
0.00,1174.00,19991,1991,5,
0.00,511.00,19977,1991,5,
0.00,1369.00,19977,1991,5,
0.00,130.00,19670,1991,5,
0.00,693.00,19977,1991,5,
0.00,1170.00,20355,1991,5,
0.00,1353.00,19393,1991,5,
