Date,Cases
10/27/20,40400.0
10/28/20,40225.0
10/29/20,40050.0
10/30/20,39875.0
10/31/20,39700.0
11/1/20,39525.0
11/2/20,39350.0
11/3/20,39175.0
11/4/20,39000.0
11/5/20,38825.0
11/6/20,38650.0
11/7/20,38475.0
11/8/20,38300.0
11/9/20,38125.0
11/10/20,37950.0
11/11/20,37775.0
11/12/20,37600.0
11/13/20,37425.0
11/14/20,37250.0
11/15/20,37075.0
11/16/20,36900.0
11/17/20,36725.0
11/18/20,36550.0
11/19/20,36375.0
11/20/20,36200.0
11/21/20,36025.0
11/22/20,35850.0
11/23/20,35675.0
11/24/20,35500.0
11/25/20,35325.0
11/26/20,35150.0
11/27/20,34975.0
11/28/20,34800.0
11/29/20,34625.0
11/30/20,34450.0
11/30/20,34275.0
12/1/20,34100.0
12/2/20,33925.0
12/3/20,33750.0
12/4/20,33575.0
12/5/20,33400.0
12/6/20,33225.0
12/7/20,33050.0
12/8/20,32875.0
12/9/20,32700.0
12/10/20,32525.0
12/11/20,32350.0
12/12/20,32175.0
12/13/20,32000.0
12/14/20,31825.0
12/15/20,31650.0
12/16/20,31475.0
12/17/20,31300.0
12/18/20,31125.0
12/19/20,30950.0
12/20/20,30775.0
12/21/20,30600.0
12/22/20,30425.0
12/23/20,30250.0
12/24/20,30075.0
12/25/20,29900.0
12/26/20,29725.0
12/27/20,29550.0
12/28/20,29375.0
12/29/20,29200.0
12/30/20,29025.0
12/31/20,28850.0
1/1/21,28675.0
1/2/21,28500.0
1/3/21,28325.0
1/4/21,28150.0
1/5/21,27975.0
1/6/21,27800.0
1/7/21,27625.0
1/8/21,27450.0
1/9/21,27275.0
1/10/21,27100.0
1/11/21,26925.0
1/12/21,26750.0
1/13/21,26575.0
1/14/21,26400.0
1/15/21,26225.0
1/16/21,26050.0
1/17/21,25875.0
1/18/21,25700.0
1/19/21,25525.0
1/20/21,25350.0
1/21/21,25175.0
1/22/21,25000.0
1/23/21,24825.0
1/24/21,24650.0
1/25/21,24475.0
1/26/21,24300.0
1/27/21,24125.0
1/28/21,23950.0
1/29/21,23775.0
1/30/21,23600.0
1/31/21,23425.0
2/1/21,23250.0
2/2/21,23075.0
2/3/21,22900.0
2/4/21,22725.0
2/5/21,22550.0
2/6/21,22375.0
2/7/21,22200.0
2/8/21,22025.0
2/9/21,21850.0
2/10/21,21675.0
2/11/21,21500.0
2/12/21,21325.0
2/13/21,21150.0
2/14/21,20975.0
2/15/21,20800.0
2/16/21,20625.0
2/17/21,20450.0
2/18/21,20275.0
2/19/21,20100.0
2/20/21,19925.0
2/21/21,19750.0
2/22/21,19575.0
2/23/21,19400.0
2/24/21,19225.0
2/25/21,19050.0
2/26/21,18875.0
2/27/21,18700.0
2/28/21,18525.0
3/1/21,18350.0
3/2/21,18175.0
3/3/21,18000.0
3/4/21,17825.0
3/5/21,17650.0
3/6/21,17475.0
3/7/21,17300.0
3/8/21,17125.0
3/9/21,16950.0
3/10/21,16775.0
3/11/21,16600.0
3/12/21,16425.0
3/13/21,16250.0
3/14/21,16075.0
3/15/21,15900.0
3/16/21,15725.0
3/17/21,15550.0
3/18/21,15375.0
3/19/21,15200.0
3/20/21,15025.0
3/21/21,14850.0
3/22/21,14675.0
3/23/21,14500.0
3/24/21,14325.0
3/25/21,14150.0
3/26/21,13975.0
3/27/21,13800.0
3/28/21,13625.0
3/29/21,13450.0
3/30/21,13275.0
3/31/21,13100.0
