"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,315.00,20374,1998,1,
0.00,67.00,20374,1998,1,
0.00,1974.00,20436,1998,1,
0.00,1670.00,20436,1998,1,
0.00,280.00,19977,1998,1,
0.00,1821.00,20436,1998,1,
0.00,981.00,20436,1998,1,
0.00,725.00,20436,1998,1,
0.00,1111.00,19994,1998,1,
0.00,1180.00,20436,1998,1,
0.00,493.00,19991,1998,1,
0.00,212.00,20170,1998,1,
0.00,139.00,20374,1998,1,
0.00,124.00,20374,1998,1,
0.00,948.00,19393,1998,1,
0.00,673.00,19393,1998,1,
0.00,3079.00,20193,1998,1,
0.00,2985.00,20193,1998,1,
0.00,3385.00,20193,1998,1,
0.00,2345.00,20193,1998,1,
0.00,4004.00,20193,1998,1,
0.00,734.00,20170,1998,1,
0.00,852.00,19977,1998,1,
0.00,946.00,19977,1998,1,
0.00,446.00,19704,1998,1,
0.00,1185.00,19977,1998,1,
0.00,743.00,19977,1998,1,
0.00,533.00,19704,1998,1,
0.00,689.00,19805,1998,1,
0.00,781.00,19977,1998,1,
0.00,753.00,19704,1998,1,
0.00,183.00,19977,1998,1,
0.00,1145.00,19704,1998,1,
0.00,1593.00,19393,1998,1,
0.00,446.00,19386,1998,1,
0.00,1428.00,19704,1998,1,
0.00,1471.00,19704,1998,1,
0.00,1079.00,19704,1998,1,
0.00,93.00,20374,1998,1,
0.00,243.00,20374,1998,1,
0.00,45.00,20374,1998,1,
0.00,1604.00,19805,1998,1,
0.00,1795.00,19977,1998,1,
0.00,115.00,19704,1998,1,
0.00,1279.00,19704,1998,1,
0.00,201.00,19977,1998,1,
0.00,319.00,19977,1998,2,
0.00,1010.00,19704,1998,2,
0.00,885.00,19704,1998,2,
0.00,287.00,19704,1998,2,
0.00,894.00,19704,1998,2,
0.00,50.00,20357,1998,2,
0.00,47.00,20357,1998,2,
0.00,110.00,19977,1998,2,
0.00,26.00,19687,1998,2,
0.00,791.00,19977,1998,2,
0.00,1636.00,20355,1998,2,
0.00,67.00,20374,1998,2,
0.00,67.00,19704,1998,2,
0.00,638.00,19704,1998,2,
0.00,115.00,20170,1998,2,
0.00,99.00,19977,1998,2,
0.00,292.00,19704,1998,2,
0.00,832.00,20170,1998,2,
0.00,505.00,19977,1998,2,
0.00,1224.00,19704,1998,2,
0.00,1303.00,19805,1998,2,
0.00,367.00,19994,1998,2,
0.00,1673.00,19704,1998,2,
0.00,191.00,19977,1998,2,
0.00,191.00,19704,1998,2,
0.00,986.00,19704,1998,2,
0.00,1041.00,19704,1998,2,
0.00,1277.00,19704,1998,2,
0.00,1169.00,20447,1998,2,
0.00,670.00,20374,1998,2,
0.00,722.00,19977,1998,2,
0.00,89.00,19977,1998,2,
0.00,111.00,20355,1998,2,
0.00,1180.00,19994,1998,2,
0.00,1764.00,19704,1998,2,
0.00,1927.00,19994,1998,2,
0.00,224.00,19386,1998,2,
0.00,224.00,19977,1998,2,
0.00,2412.00,20436,1998,2,
0.00,2724.00,19704,1998,2,
0.00,1399.00,20436,1998,2,
0.00,1519.00,19994,1998,2,
0.00,1368.00,20436,1998,2,
0.00,1721.00,19994,1998,2,
0.00,697.00,19994,1998,2,
0.00,967.00,19704,1998,2,
0.00,1383.00,19977,1998,2,
0.00,86.00,19977,1998,2,
0.00,2440.00,19977,1998,2,
0.00,192.00,19704,1998,2,
0.00,859.00,19790,1998,2,
0.00,30.00,19393,1998,2,
0.00,569.00,19977,1998,2,
0.00,569.00,19687,1998,2,
0.00,697.00,19994,1998,2,
0.00,30.00,19704,1998,2,
0.00,74.00,20357,1998,2,
0.00,74.00,20173,1998,2,
0.00,1808.00,20357,1998,2,
0.00,1835.00,20173,1998,2,
0.00,1045.00,20173,1998,2,
0.00,1045.00,20042,1998,2,
0.00,1045.00,20151,1998,2,
0.00,1045.00,20151,1998,2,
0.00,1045.00,20357,1998,2,
0.00,1045.00,20218,1998,2,
0.00,47.00,20357,1998,2,
0.00,1956.00,20447,1998,2,
0.00,68.00,20357,1998,2,
0.00,94.00,20357,1998,2,
0.00,1237.00,20400,1998,2,
0.00,493.00,20436,1998,2,
0.00,2105.00,20436,1998,2,
0.00,1864.00,20436,1998,2,
0.00,1565.00,19393,1998,2,
0.00,1982.00,20436,1998,2,
0.00,1258.00,20436,1998,2,
0.00,507.00,20436,1998,2,
0.00,689.00,19704,1998,2,
0.00,585.00,19977,1998,2,
0.00,146.00,19977,1998,2,
0.00,113.00,19977,1998,2,
0.00,113.00,19386,1998,2,
0.00,480.00,19977,1998,2,
0.00,86.00,19977,1998,2,
0.00,1276.00,19704,1998,2,
0.00,338.00,19790,1998,2,
0.00,129.00,20017,1998,2,
0.00,40.00,19704,1998,2,
0.00,604.00,19977,1998,2,
0.00,1547.00,19991,1998,2,
0.00,254.00,19386,1998,2,
0.00,1736.00,19991,1998,2,
0.00,1776.00,20147,1998,2,
0.00,68.00,20357,1998,2,
0.00,45.00,20357,1998,2,
0.00,94.00,20357,1998,2,
0.00,45.00,20357,1998,2,
0.00,53.00,20408,1998,2,
0.00,194.00,19704,1998,2,
0.00,477.00,19977,1998,2,
0.00,228.00,19977,1998,2,
0.00,381.00,19874,1998,2,
0.00,810.00,19991,1998,2,
0.00,204.00,19977,1998,2,
0.00,717.00,19704,1998,2,
