"PASSENGERS","DISTANCE","AIRLINE_ID","YEAR","MONTH",
0.00,178.00,20437,1995,1,
0.00,0.00,19977,1995,1,
0.00,834.00,19704,1995,1,
0.00,590.00,19704,1995,1,
0.00,405.00,19991,1995,1,
0.00,1444.00,19991,1995,1,
0.00,583.00,19704,1995,1,
0.00,432.00,19977,1995,1,
0.00,556.00,19977,1995,1,
0.00,256.00,19977,1995,1,
0.00,1278.00,19704,1995,1,
0.00,316.00,19704,1995,1,
0.00,1231.00,19704,1995,1,
0.00,2358.00,19977,1995,1,
0.00,980.00,20173,1995,1,
0.00,79.00,19704,1995,1,
0.00,1004.00,19704,1995,1,
0.00,919.00,19704,1995,1,
0.00,1614.00,19704,1995,1,
0.00,133.00,19704,1995,1,
0.00,833.00,20374,1995,1,
0.00,110.00,19704,1995,1,
0.00,628.00,19977,1995,1,
0.00,840.00,19704,1995,1,
0.00,1171.00,19977,1995,1,
0.00,1129.00,19704,1995,1,
0.00,247.00,19704,1995,1,
0.00,1145.00,19977,1995,1,
0.00,191.00,19977,1995,1,
0.00,1040.00,19704,1995,1,
0.00,1430.00,19977,1995,1,
0.00,831.00,19977,1995,1,
0.00,659.00,19977,1995,1,
0.00,187.00,20237,1995,1,
0.00,263.00,19977,1995,1,
0.00,873.00,19704,1995,1,
0.00,83.00,19386,1995,1,
0.00,474.00,19704,1995,1,
0.00,896.00,19977,1995,1,
0.00,111.00,19704,1995,1,
0.00,271.00,19704,1995,1,
0.00,954.00,19704,1995,1,
0.00,129.00,19977,1995,1,
0.00,2239.00,20355,1995,1,
0.00,1668.00,19704,1995,1,
0.00,2398.00,20173,1995,1,
0.00,1482.00,19977,1995,1,
0.00,189.00,20374,1995,1,
0.00,833.00,20374,1995,1,
0.00,742.00,20374,1995,1,
0.00,697.00,19977,1995,1,
0.00,30.00,19977,1995,1,
0.00,1046.00,20218,1995,1,
0.00,1046.00,20218,1995,1,
0.00,1571.00,19977,1995,1,
0.00,1045.00,20151,1995,1,
0.00,1045.00,20218,1995,1,
0.00,1045.00,20151,1995,1,
0.00,1045.00,19812,1995,1,
0.00,1045.00,20173,1995,1,
0.00,1414.00,19704,1995,1,
0.00,3728.00,19977,1995,1,
0.00,1237.00,20218,1995,1,
0.00,991.00,19977,1995,1,
0.00,86.00,19977,1995,1,
0.00,2115.00,19977,1995,1,
0.00,129.00,20017,1995,1,
0.00,753.00,19704,1995,1,
0.00,956.00,19704,1995,1,
0.00,483.00,19704,1995,1,
0.00,471.00,19386,1995,1,
0.00,753.00,19704,1995,1,
0.00,238.00,20020,1995,1,
0.00,251.00,19704,1995,1,
0.00,351.00,19704,1995,1,
0.00,1599.00,20020,1995,1,
0.00,51.00,19805,1995,1,
0.00,119.00,19977,1995,1,
0.00,264.00,19790,1995,1,
0.00,79.00,20374,1995,1,
0.00,1076.00,19977,1995,1,
0.00,717.00,19704,1995,1,
0.00,2497.00,19977,1995,1,
0.00,1788.00,19977,1995,1,
0.00,1887.00,19977,1995,1,
