Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
4/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
