Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
2/1992,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/1992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1992,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
