Date,Domestic LCC RPMs,Total Domestic RPMs
8/2007,15481249951,55571832029
9/2007,11814521165,45220472205
10/2007,11344993579,49041969335
11/2007,11131387219,47252475927
12/2007,11239683808,46922628512
1/2008,10522217793,44205123014
2/2008,10613683854,43379603730
3/2008,13035661794,51958177387
4/2008,11626136979,48135908333
5/2008,12151263284,50173845491
6/2008,12709130056,52407897391
7/2008,13184565074,54496410199
8/2008,12681974297,52517103481
9/2008,9463583994,40977755815
10/2008,10798698973,44882206973
11/2008,9726676029,40561801462
12/2008,10677690022,43697973888
1/2009,9442941507,39266959614
2/2009,9270017682,37602652288
3/2009,11861060989,46467038042
4/2009,11505003699,45362251582
5/2009,11419062077,45902528806
6/2009,12194364310,49150946351
7/2009,13244546711,52548244144
8/2009,12477637805,50330323920
9/2009,10271209807,41631002164
10/2009,11119227936,44769455546
11/2009,10569718829,41572471501
12/2009,10967836002,43621999367
1/2010,9962543995,40265623201
2/2010,9169519753,36962194326
3/2010,12300205022,47579821776
4/2010,11777631200,45632960416
5/2010,11988968005,46862712005
6/2010,12753739302,50257354056
7/2010,13773021973,52946940864
8/2010,13130660005,51309692281
9/2010,10883546514,43646753208
10/2010,12084513268,47258221815
11/2010,11652289589,44362680200
12/2010,11885932711,45052743967
1/2011,10965108387,41132772477
2/2011,10136823132,38245413142
3/2011,13282415377,48963295806
4/2011,12610015419,46521907236
5/2011,13182086656,48916411419
6/2011,13833292157,51409784015
7/2011,14778279961,54313166653
8/2011,13727649500,51393161316
9/2011,11620697634,44433001091
10/2011,12651163119,46823009443
11/2011,12220674921,44734349878
12/2011,12344257668,45602412375
1/2012,11173359800,41562179702
2/2012,10957078493,40406646232
3/2012,13736614090,49646258005
4/2012,12936324951,47194451485
5/2012,13196988317,48973925337
6/2012,14112730780,51856046718
7/2012,14992630272,54093557916
8/2012,14166409154,52760357291
9/2012,11638614863,43852317522
10/2012,12583921654,46657007739
11/2012,12364655882,45165348039
12/2012,12616833651,45798539279
1/2013,11440878130,42692071922
2/2013,10914199498,40317154679
3/2013,14379962714,50533823287
4/2013,13158111770,47225596610
5/2013,13994034206,50023006871
6/2013,14697240552,52664005515
7/2013,15287229905,54542985084
8/2013,14257347533,52936998637
9/2013,11961353726,44605751285
10/2013,13016594985,47856073318
11/2013,12406773776,44398420008
12/2013,13841537290,49028836446
1/2014,11661382963,43480223549
2/2014,11265086116,40499145402
3/2014,14709446182,51833551234
4/2014,13862711094,49160210055
