Date,CPG
9/2012,3.257818017444522
10/2012,3.2958956741706382
11/2012,3.175304065107013
12/2012,3.122810679864521
1/2013,3.1218485663339037
2/2013,3.2866776713401014
3/2013,3.20167597536591
4/2013,3.0500560484315193
5/2013,2.919181624374609
6/2013,2.9014180946909147
7/2013,2.917619569950193
8/2013,3.0523038243047935
9/2013,3.0867224503022093
10/2013,3.04638938832798
11/2013,3.0203371775573595
12/2013,3.0310211594103333
1/2014,3.0971062421647817
2/2014,3.050715684344223
3/2014,3.0103064677309543
4/2014,2.98533819453326
5/2014,2.9942619274100712
6/2014,2.9778601843095616
7/2014,3.002344393807786
8/2014,2.9855524234444153
9/2014,2.8933684579917527
10/2014,2.6966176785506453
11/2014,2.5798350120192866
12/2014,2.3188227854478236
1/2015,1.9412507445781046
2/2015,2.230494007400654
3/2015,2.0108108969456993
4/2015,1.9272786177210905
5/2015,2.096136107961423
6/2015,2.0468295201224156
7/2015,1.834036039843259
8/2015,1.6849422919343215
9/2015,1.6028005172078237
10/2015,1.6413333762179296
11/2015,1.5750544789298913
12/2015,1.449640503361423
1/2016,1.2942590408671495
2/2016,1.2442549944508772
3/2016,1.284326949409034
4/2016,1.3347525898566819
5/2016,1.4351381279105329
6/2016,1.7946394215624324
7/2016,1.5063485055432089
8/2016,1.4459538548840163
9/2016,1.485237965881606
10/2016,1.5923314128861628
11/2016,1.4556838174482893
12/2016,1.611909461014872
1/2017,1.6496212116790445
2/2017,1.7090179237329512
3/2017,1.654143484148696
4/2017,1.6642825701664075
5/2017,1.6074951662861556
6/2017,1.5391856947648657
7/2017,1.5566771167477498
8/2017,1.6507496783079254
9/2017,1.8125939135816405
10/2017,1.824706756723862
11/2017,1.8771102256998382
12/2017,1.9128360371499795
1/2018,2.023365411729212
2/2018,2.0283638244381526
3/2018,1.9617448832207194
4/2018,2.0819046762409976
5/2018,2.1894068199726884
6/2018,2.2082053343609425
7/2018,2.1976366116379378
8/2018,2.1971638240593663
9/2018,2.238115796632781
10/2018,2.3471231168445126
11/2018,2.2569092714082846
12/2018,2.035415998189904
1/2019,1.9167729205120931
2/2019,1.9976042875711766
3/2019,2.0315615450914564
4/2019,2.0651559593143247
5/2019,2.1228507561000733
6/2019,2.000705544663513
7/2019,1.9946629950268997
8/2019,1.9455212461704225
9/2019,1.9690584957100423
10/2019,1.9776218173487297
11/2019,1.99949425538782
12/2019,2.02104114648639
1/2020,1.9901125386649088
2/2020,1.7992154043155202
3/2020,1.4647284789094726
4/20,1.45
