Months_After_9/11,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf_War_Recession,Leap_Feb,Great_Recession,Thanksgiving_n,Thanksgiving_d,Unemployement,Labor_Force,RPMs,Date,CPG,9/11,Avg,Avgd,MSC
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.6,129711.0,27824122071,11/1993,0.53,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,129941.0,28716483543,12/1993,0.45,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,130596.0,26317443145,1/1994,0.53,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,130669.0,25354141710,2/1994,0.5,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,130400.0,31672227550,3/1994,0.45,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,130621.0,29886266290,4/1994,0.47,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,130779.0,30882570308,5/1994,0.47,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1,130561.0,32963571373,6/1994,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,130652.0,35381417794,7/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,131275.0,35939215163,8/1994,0.5,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,131421.0,29868823812,9/1994,0.49,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.8,131744.0,31905312180,10/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.6,131891.0,30436999626,11/1994,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,131951.0,31351837548,12/1994,0.49,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,132038.0,29094628725,1/1995,0.47,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,132115.0,27406413484,2/1995,0.47,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,132108.0,33352725130,3/1995,0.45,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,132590.0,32084120312,4/1995,0.5,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,131851.0,32129398658,5/1995,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,131949.0,34557614090,6/1995,0.48,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,132343.0,35792693856,7/1995,0.47,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.7,132336.0,36827822646,8/1995,0.5,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6,132611.0,30034697460,9/1995,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.5,132716.0,32435394324,10/1995,0.5,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.6,132614.0,31034412162,11/1995,0.52,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,132511.0,31907694014,12/1995,0.55,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,132616.0,29541157118,1/1996,0.55,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,132952.0,30531763599,2/1996,0.56,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,133180.0,36448878709,3/1996,0.59,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,133409.0,34353641115,4/1996,0.62,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,133667.0,35063744052,5/1996,0.56,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3,133697.0,37125647880,6/1996,0.52,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,134284.0,38865568593,7/1996,0.56,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.1,134054.0,40030116067,8/1996,0.62,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.2,134515.0,32059400145,9/1996,0.68,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.2,134921.0,35079764444,10/1996,0.7,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.4,135007.0,31495946126,11/1996,0.7,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.4,135113.0,35506390664,12/1996,0.69,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,135456.0,32390056922,1/1997,0.68,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,135400.0,31031126559,2/1997,0.62,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,135891.0,38703387091,3/1997,0.56,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,136016.0,35806638683,4/1997,0.54,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,136119.0,36507036667,5/1997,0.55,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,136211.0,38967953883,6/1997,0.52,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9,136477.0,41238202793,7/1997,0.54,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.8,136618.0,41709514211,8/1997,0.56,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.9,136675.0,33524366111,9/1997,0.54,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.7,136633.0,36208244990,10/1997,0.57,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.6,136961.0,33830480412,11/1997,0.55,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.7,137155.0,36114880123,12/1997,0.5,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,137095.0,32626673043,1/1998,0.48,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,137112.0,31495956511,2/1998,0.45,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,137236.0,38369577372,3/1998,0.41,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,137150.0,37635712121,4/1998,0.43,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,137372.0,37972337669,5/1998,0.42,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5,137455.0,40057089981,6/1998,0.39,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,137588.0,42326920458,7/1998,0.39,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,137570.0,41948660757,8/1998,0.37,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.6,138286.0,34205093071,9/1998,0.42,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,138279.0,37510023229,10/1998,0.42,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.4,138381.0,35413662912,11/1998,0.37,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4,138634.0,37072453879,12/1998,0.3,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,139003.0,33924134965,1/1999,0.33,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,138967.0,32774995512,2/1999,0.31,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,138730.0,40443770588,3/1999,0.38,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,138959.0,39124594362,4/1999,0.43,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,139107.0,38917416021,5/1999,0.42,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3,139329.0,41992871493,6/1999,0.44,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3,139439.0,45023803200,7/1999,0.51,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2,139430.0,44129765076,8/1999,0.56,0.0,0.0,0.0,0
