Date,lab
8/2016,159579.0
9/2016,159817.0
10/2016,159734.0
11/2016,159551.0
12/2016,159710.0
1/2017,159647.0
2/2017,159767.0
3/2017,160066.0
4/2017,160309.0
5/2017,160060.0
6/2017,160232.0
7/2017,160339.0
8/2017,160690.0
9/2017,161212.0
10/2017,160378.0
11/2017,160510.0
12/2017,160538.0
1/2018,161068.0
2/2018,161783.0
3/2018,161684.0
4/2018,161742.0
5/2018,161874.0
6/2018,162269.0
7/2018,162173.0
8/2018,161768.0
9/2018,162078.0
10/2018,162605.0
11/2018,162662.0
12/2018,163111.0
1/2019,163142.0
2/2019,163047.0
3/2019,162935.0
4/2019,162546.0
5/2019,162782.0
6/2019,163133.0
7/2019,163373.0
8/2019,163894.0
9/2019,164051.0
10/2019,164401.0
11/2019,164347.0
12/2019,164556.0
1/2020,164606.0
2/2020,164546.0
3/2020,162913.0
4/2020,156481.0
5/2020,158227.0
